n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
138,137,128,111,1.498,0.520189,0.00670954
139,138,128,111,1.503,0.520157,0.00615771
140,139,128,111,1.585,0.520214,0.00811861
141,140,128,111,1.506,0.520293,0.00651036
142,141,128,111,1.522,0.520258,0.00615280
143,142,128,111,1.503,0.520350,0.00830195
144,143,128,111,1.511,0.520209,0.00587655
145,144,128,111,1.496,0.520193,0.00674221
146,145,128,111,1.493,0.520054,0.00626636
147,146,128,111,1.528,0.519933,0.00576620
148,147,128,111,1.498,0.519887,0.00709688
149,148,128,111,1.501,0.520099,0.00787599
150,149,128,111,1.604,0.520335,0.01065169
151,150,128,111,1.500,0.520435,0.00711844
152,151,128,111,1.493,0.520340,0.00633558
153,152,128,111,1.497,0.520421,0.00541766
154,153,128,111,1.484,0.520548,0.00616014
155,154,128,111,1.490,0.520451,0.00577704
156,155,128,111,1.580,0.520282,0.00467466
157,156,128,111,1.499,0.520348,0.00490615
158,157,128,111,1.500,0.520228,0.00453677
159,158,128,111,1.514,0.520170,0.00508449
160,159,128,111,1.495,0.520031,0.00646880
161,160,128,111,1.599,0.519881,0.00448996
162,161,128,111,1.484,0.519895,0.00505618
163,162,128,111,1.489,0.519965,0.00597768
164,163,128,111,1.587,0.519769,0.00424823
165,164,128,111,1.598,0.520007,0.00554566
166,165,128,111,1.598,0.520003,0.00427934
167,166,128,111,1.479,0.519885,0.00497108
168,167,128,111,1.602,0.519740,0.00547647
169,168,128,111,1.506,0.519658,0.00450986
170,169,128,111,1.489,0.519512,0.00436765
171,170,128,111,1.493,0.519440,0.00421574
172,171,128,111,1.500,0.519323,0.00470662
173,172,128,111,1.597,0.519068,0.00464140
174,173,128,111,1.500,0.518781,0.00419609
175,174,128,111,1.506,0.518649,0.00575772
176,175,128,111,1.496,0.518448,0.00434442
177,176,128,111,1.487,0.518594,0.00563564
178,177,128,111,1.492,0.518822,0.00463016
179,178,128,111,1.496,0.519128,0.00615469
180,179,128,111,1.486,0.519485,0.00639794
181,180,128,111,1.492,0.519554,0.00621921
182,181,128,111,1.497,0.519629,0.00517173
183,182,128,111,1.489,0.519736,0.00605114
184,183,128,111,1.513,0.519662,0.00399758
185,184,128,111,1.500,0.519876,0.00540690
186,185,128,111,1.497,0.519824,0.00446679
187,186,128,111,1.514,0.519814,0.00374415
188,187,128,111,1.498,0.520042,0.00477532
189,188,128,111,1.488,0.520243,0.00531672
190,189,128,111,1.488,0.520386,0.00506407
191,190,128,111,1.584,0.520400,0.00597723
192,191,128,111,1.596,0.520476,0.00513239
193,192,128,111,1.797,0.520751,0.00512336
194,193,128,111,1.491,0.520763,0.00395358
195,194,128,111,1.491,0.520903,0.00435072
196,195,128,111,1.492,0.520882,0.00507320
197,196,128,111,1.584,0.521078,0.00408207
198,197,128,111,1.501,0.521245,0.00433962
199,198,128,111,1.496,0.521147,0.00423047
200,199,128,111,1.489,0.521262,0.00409811
201,200,128,111,1.496,0.521446,0.00530053
202,201,128,111,1.535,0.521440,0.00495304
203,202,128,111,1.501,0.521465,0.00470051
204,203,128,111,1.495,0.521453,0.00508495
205,204,128,111,1.493,0.521504,0.00554959
206,205,128,111,1.493,0.521572,0.00418532
207,206,128,111,1.511,0.521583,0.00419150
208,207,128,111,1.500,0.521669,0.00461173
209,208,128,111,1.482,0.521885,0.00594761
210,209,128,111,1.495,0.522010,0.00530132
211,210,128,111,1.591,0.522115,0.00487309
212,211,128,111,1.600,0.522206,0.00583026
213,212,128,111,1.881,0.522142,0.00557115
214,213,128,111,1.501,0.522071,0.00436497
215,214,128,111,1.493,0.522065,0.00448157
216,215,128,111,1.500,0.521798,0.00497821
217,216,128,111,1.496,0.521872,0.00577681
218,217,128,111,1.510,0.521862,0.00495550
219,218,128,111,1.578,0.521757,0.00566384
220,219,128,111,1.592,0.521648,0.00386879
221,220,128,111,1.503,0.521637,0.00428785
222,221,128,111,1.500,0.521741,0.00378945
223,222,128,111,1.516,0.521815,0.00410697
224,223,128,111,1.501,0.521707,0.00431699
225,224,128,111,1.496,0.521525,0.00408165
226,225,128,111,1.488,0.521495,0.00359470
227,226,128,111,1.492,0.521662,0.00456732
228,227,128,111,1.496,0.521612,0.00340577
229,228,128,111,1.493,0.521534,0.00320940
230,229,128,111,1.517,0.521592,0.00410798
231,230,128,111,1.504,0.521482,0.00340268
232,231,128,111,1.487,0.521387,0.00382564
233,232,128,111,1.492,0.521232,0.00447371
234,233,128,111,1.494,0.521184,0.00335488
235,234,128,111,1.489,0.521218,0.00337808
236,235,128,111,1.502,0.521162,0.00343035
237,236,128,111,1.492,0.521021,0.00329478
238,237,128,111,1.499,0.520960,0.00283751
239,238,128,111,1.514,0.520993,0.00326849
240,239,128,111,1.500,0.521048,0.00327810
241,240,128,111,1.494,0.520910,0.00308122
242,241,128,111,1.493,0.521042,0.00528860
243,242,128,111,1.500,0.521063,0.00476398
244,243,128,111,1.511,0.521231,0.00553377
245,244,128,111,1.500,0.521061,0.00349622
246,245,128,111,1.489,0.520920,0.00319915
247,246,128,111,1.514,0.520920,0.00365241
248,247,128,111,1.499,0.520707,0.00330654
249,248,128,111,1.498,0.520575,0.00335752
250,249,128,111,1.496,0.520521,0.00411630
251,250,128,111,1.511,0.520596,0.00448304
252,251,128,111,1.500,0.520561,0.00360503
253,252,128,111,1.492,0.520458,0.00373587
254,253,128,111,1.493,0.520445,0.00368863
255,254,128,111,1.495,0.520585,0.00467724
256,255,128,111,1.499,0.520863,0.00416483
257,256,128,111,1.492,0.521086,0.00692785
258,257,128,111,1.494,0.521109,0.00435354
259,258,128,111,1.489,0.521284,0.00426255
260,259,128,111,1.524,0.521366,0.00528895
261,260,128,111,1.497,0.521488,0.00403863
262,261,128,111,1.488,0.521516,0.00326802
263,262,128,111,1.494,0.521625,0.00314274
264,263,128,111,1.504,0.521670,0.00365800
265,264,128,111,1.506,0.521883,0.00431440
266,265,128,111,1.494,0.522034,0.00358075
267,266,128,111,1.491,0.522052,0.00317904
268,267,128,111,1.499,0.522160,0.00511662
269,268,128,111,1.493,0.522327,0.00398551
270,269,128,111,1.495,0.522572,0.00554996
271,270,128,111,1.493,0.523024,0.01207679
272,271,128,111,1.487,0.523031,0.00327586
273,272,128,111,1.492,0.523151,0.00379829
274,273,128,111,1.492,0.523372,0.00523845
275,274,128,111,1.492,0.523530,0.00374319
276,275,128,111,1.495,0.523534,0.00269947
277,276,128,111,1.493,0.523519,0.00269755
278,277,128,111,1.497,0.523462,0.00304242
279,278,128,111,1.495,0.523337,0.00306909
280,279,128,111,1.494,0.523206,0.00266931
281,280,128,111,1.488,0.523255,0.00290190
282,281,128,111,1.493,0.523273,0.00271020
283,282,128,111,1.493,0.523183,0.00280226
284,283,128,111,1.494,0.523130,0.00301107
285,284,128,111,1.493,0.523001,0.00270894
286,285,128,111,1.499,0.522901,0.00325176
287,286,128,111,1.495,0.522762,0.00351999
288,287,128,111,1.485,0.522633,0.00263075
289,288,128,111,1.488,0.522573,0.00276455
290,289,128,111,1.494,0.522502,0.00276777
291,290,128,111,1.494,0.522617,0.00343064
292,291,128,111,1.490,0.522536,0.00335620
293,292,128,111,1.496,0.522519,0.00220196
294,293,128,111,1.497,0.522540,0.00339097
295,294,128,111,1.491,0.522542,0.00301273
296,295,128,111,1.513,0.522471,0.00330555
297,296,128,111,1.506,0.522419,0.00302856
298,297,128,111,1.481,0.522341,0.00230619
299,298,128,111,1.494,0.522507,0.00476832
300,299,128,111,1.494,0.522507,0.00293177
301,300,128,111,1.690,0.522448,0.00257429
302,301,128,111,2.198,0.522488,0.00268694
303,302,128,111,1.497,0.522312,0.00270643
304,303,128,111,1.450,0.522424,0.00349407
